ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5547.7810       358.0999         0.0000         0.0000       929.9934          -4259.6877       295.4507     -5189.6811     -4259.1338       295.4247           -475.0053      -459.6864     22725.7664      -175.3038      -175.3094
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5627.2005       413.4317         0.0000         0.0000       944.3330          -4269.4357       300.0063     -5213.7688     -4266.2491       300.6925            -43.7064       -10.9652     22553.9066      -204.1877      -204.1887
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5581.3952       365.4022         0.0000         0.0000       956.3299          -4259.6631       303.8176     -5215.9930     -4258.3194       299.8098           -285.4386      -275.4718     22277.0693      -256.0658      -256.0814
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5616.2243       412.5734         0.0000         0.0000       951.6438          -4252.0070       302.3289     -5203.6508     -4250.6811       300.0625            247.8578       258.8563     22503.1003      -202.9017      -202.8404
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5687.3042       417.6205         0.0000         0.0000       950.1271          -4319.5566       301.8470     -5269.6837     -4318.8418       295.0471            -81.6358       -54.1659     22610.8599      -278.7855      -278.8525
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5632.5444       426.7741         0.0000         0.0000       934.3897          -4271.3807       296.8474     -5205.7703     -4268.2477       293.2793            221.8881       245.4705     22434.3728      -249.4238      -249.5532
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5578.6601       369.3476         0.0000         0.0000       971.0119          -4238.3005       308.4820     -5209.3124     -4233.7325       298.7314            -38.1833        -7.3614     22550.0796      -244.0730      -244.1627
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5495.2970       370.7396         0.0000         0.0000       905.0432          -4219.5142       287.5243     -5124.5574     -4218.7298       301.9659             54.0422        64.8530     22801.2616      -216.8666      -216.9230
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5582.6600       361.9384         0.0000         0.0000       954.8854          -4265.8362       303.3587     -5220.7216     -4264.6112       302.1714           -586.6957      -584.2495     22804.7657      -250.8137      -250.9393
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5553.9148       373.0346         0.0000         0.0000       944.2719          -4236.6082       299.9869     -5180.8802     -4234.5238       299.5111           -403.8383      -372.5466     22625.6277      -163.5501      -163.5930
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5571.0894       420.6658         0.0000         0.0000       931.8870          -4218.5366       296.0523     -5150.4236     -4216.9880       302.8109            112.3118       124.3171     22834.6530      -170.9843      -171.0053
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5615.0631       403.4635         0.0000         0.0000       910.7826          -4300.8170       289.3476     -5211.5996     -4298.4344       300.2135           -450.2503      -415.3374     22697.6763      -280.4714      -280.3328
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5663.6526       437.3691         0.0000         0.0000       937.6847          -4288.5988       297.8942     -5226.2835     -4285.9267       296.2338            -67.4377       -67.3997     22682.9934      -215.3304      -215.3801
